frequency_hz,phase_deg,magnitude_ohm
1000,89.6203832448,160.888391777
4030.242424,89.4030367517,651.664179571
7060.484848,89.3780015501,1146.71333518
10090.727273,89.2971452426,1657.53419957
13120.969697,89.1041388266,2191.59119036
16151.212121,89.1134869676,2792.59349156
19181.454545,88.2960821296,3379.30528382
22211.69697,88.9175572992,4043.94352578
25241.939394,88.9127643217,4791.74285283
28272.181818,89.047721816,5651.9125755
31302.424242,88.294966055,6663.45317039
34332.666667,88.9761198507,7833.56162888
37362.909091,89.4864890764,9357.72869812
40393.151515,88.9997364461,11034.3840623
43423.393939,88.6058361592,12922.3156468
46453.636364,88.5061258865,16416.4440337
49483.878788,89.5054590427,20588.2475477
52514.121212,137.997506654,13747.9776766
55544.363636,15.9084556049,8017.64060125
58574.606061,88.6058087903,88191.1214009
61604.848485,37.6648325809,180359.932837
64635.090909,-71.2829687309,70431.0736022
67665.333333,-83.2626906798,67675.4651593
70695.575758,-76.5685610124,32087.6129133
73725.818182,-80.8850246521,6832.5303869
76756.060606,-87.1749397618,22853.9019393
79786.30303,-87.1111463603,19754.0595572
82816.545455,-91.2349910557,16437.6960566
85846.787879,-87.9330104346,15364.6236627
88877.030303,-87.4304094829,13547.7408937
91907.272727,-88.4742757299,12385.8013848
94937.515152,-89.4758012052,11426.8773527
97967.757576,-89.4240791363,10695.3949638
100998,-88.282566414,9773.64656323
104028.242424,-88.5100081167,9282.60426652
107058.484848,-89.6817821452,8562.67976175
110088.727273,-87.6229956564,8154.329141
113118.969697,-87.1881150855,7820.85244084
116149.212121,-87.7054947171,7625.70692595
119179.454545,-85.515521725,7135.31848561
122209.69697,-91.4186154062,7003.3300924
125239.939394,-103.06836089,4271.09645771
128270.181818,-89.2358874101,3094.63399034
131300.424242,-93.6814038979,5430.81503742
134330.666667,-87.5320078732,5757.97556409
137360.909091,-90.1545665807,5221.50525246
140391.151515,-89.4121857254,5467.05669816
143421.393939,-91.1024529095,5171.08151887
146451.636364,-166.714772767,3343.92692036
149481.878788,-87.4367911224,4681.13205289
152512.121212,-89.3164492852,4782.46656985
155542.363636,-87.2692916981,4355.75685922
158572.606061,-89.055544249,4629.76099303
161602.848485,-88.730142147,4466.75495653
164633.090909,-89.9016435605,4302.54520839
167663.333333,-89.2014200888,4294.58072905
170693.575758,-89.2550688513,4166.54846634
173723.818182,-88.9879342799,3965.92738136
176754.060606,-88.8198134099,3987.81222796
179784.30303,-88.9648897056,3817.19071163
182814.545455,-88.7063849317,3729.55241389
185844.787879,-89.1630159028,3682.42696057
188875.030303,-88.525124418,3601.73319491
191905.272727,-87.9769977268,3358.70907165
194935.515152,-87.6578604421,3465.26617224
197965.757576,-83.1515442882,2383.93526271
200996,-110.443661645,9418.60707492
204026.242424,-78.9622535524,3883.02435721
207056.484848,-67.4534317999,3612.72724891
210086.727273,-83.0722742874,3197.40509708
213116.969697,-88.5739154959,3249.56282977
216147.212121,-94.071915404,3225.25653169
219177.454545,-99.5880390977,14405.7520299
222207.69697,-92.556506803,2671.00799888
225237.939394,-89.3639248769,2645.79444045
228268.181818,-56.7907419277,2067.67441524
231298.424242,-88.9100210316,2991.57229631
234328.666667,-89.415220675,2823.46681264
237358.909091,-89.4429901934,2711.89517887
240389.151515,-88.8569766962,2697.61121278
243419.393939,-89.0929737318,2689.91203729
246449.636364,-88.4999180167,2603.89765226
249479.878788,-89.0366613692,2588.6908094
252510.121212,-89.0971245927,2530.52207234
255540.363636,-88.6286464016,2462.86961229
258570.606061,-89.0286643934,2454.11760409
261600.848485,-88.4497667359,2374.59790476
264631.090909,-89.1958879028,2364.6097314
267661.333333,-88.7132188218,2331.75785466
270691.575758,-89.6026425694,2487.54695612
273721.818182,-130.908739106,4549.1013664
276752.060606,-86.3312990591,2220.61349587
279782.30303,-79.1075315706,1585.32158918
282812.545455,-83.9976651514,3868.85345861
285842.787879,-84.7576712099,1862.05807789
288873.030303,-74.3416307246,1327.93094615
291903.272727,-79.0370770478,1861.83456964
294933.515152,-46.3935310136,1940.58836256
297963.757576,-66.4059850572,1985.38121162
300994,-52.8827345607,2415.85084665
304024.242424,-80.2117115726,3200.13953961
307054.484848,-64.8363976155,2861.68508348
310084.727273,-90.647713337,2324.80882333
313114.969697,-82.1958050233,2440.03991163
316145.212121,-97.9968568645,3067.0388547
319175.454545,-89.0651239634,2199.43817582
322205.69697,-88.4618908728,2222.51288975
325235.939394,-101.555119447,1991.92004818
328266.181818,-88.2312380393,2137.75889739
331296.424242,-88.7474174561,2105.3014369
334326.666667,-88.4884593244,2064.62272005
337356.909091,-88.7684845421,2010.94011347
340387.151515,-88.9587600149,2023.24503453
343417.393939,-88.8203658301,1959.24345653
346447.636364,-96.9163283155,1655.83940852
349477.878788,-88.4035032238,2241.69194133
352508.121212,-84.1526633579,2053.13591011
355538.363636,-51.6596919688,1951.03566841
358568.606061,-98.0844738472,1706.23334128
361598.848485,-96.5723789681,2109.8736621
364629.090909,-61.8150496001,1848.55035076
367659.333333,-90.1470084238,2036.05754082
370689.575758,-87.3986585317,2010.33648576
373719.818182,-87.0081759997,1580.80271751
376750.060606,-91.5486931981,1724.12779512
379780.30303,-86.7667715503,1768.4333914
382810.545455,-100.515048147,1695.1465154
385840.787879,-89.1670212018,1710.8792302
388871.030303,-88.982495655,1689.14030073
391901.272727,-88.6522757858,1641.20340688
394931.515152,-88.8641125605,1662.80236164
397961.757576,-88.9200824933,1650.56500006
400992,-89.2621944699,1618.42625185
404022.242424,-88.9474032797,1633.39473391
407052.484848,-89.2489499887,1610.04604671
410082.727273,-85.8090221728,1434.77088411
413112.969697,-92.7271988138,1596.8767816
416143.212121,-82.5372370611,1530.68160233
419173.454545,-95.3149214348,2256.81039682
422203.69697,-88.778406884,1553.45812891
425233.939394,-88.1608106842,1488.34991503
428264.181818,-95.466721512,1457.70138751
431294.424242,-86.978585375,1597.36809765
