frequency_hz,phase_deg,magnitude_ohm
1000,-88.5293659122,8049.64352458
4030.242424,-89.3162674212,1989.99924092
7060.484848,-89.183706949,1115.87114842
10090.727273,-88.8230207474,757.426924577
13120.969697,-87.5293092517,552.586315569
16151.212121,-87.1712464186,429.997037588
19181.454545,-84.4604358231,329.37142015
22211.69697,-80.0726586257,262.381524326
25241.939394,-76.31542657,204.334083225
28272.181818,-68.0534749665,144.426044582
31302.424242,-41.2984980577,91.9491041584
34332.666667,16.0516601114,108.030863864
37362.909091,40.1338554475,252.731250552
40393.151515,27.7629120787,549.632940761
43423.393939,1.99895068136,1107.71481528
46453.636364,-53.6347532762,977.018961121
49483.878788,-68.8762775085,635.431455436
52514.121212,-73.9809279717,536.603220084
55544.363636,-79.5424519672,440.53417794
58574.606061,-81.9282134735,379.95166075
61604.848485,-83.6659308088,333.71786295
64635.090909,-84.6164207104,298.563097014
67665.333333,-85.1322225761,270.693554901
70695.575758,-85.1999146392,247.721842674
73725.818182,-84.8105930513,231.85187599
76756.060606,-85.8842589255,217.478258565
79786.30303,-86.192464575,202.254243454
82816.545455,-86.2916337529,188.777898914
85846.787879,-86.2283234787,176.704819161
88877.030303,-86.0886278507,165.913263235
91907.272727,-85.9363444998,155.956488405
94937.515152,-85.6474051661,146.346968799
97967.757576,-85.1910668126,137.199460904
100998,-84.5285177813,128.306929121
104028.242424,-83.6117024937,119.563354407
107058.484848,-82.2345267461,110.598308852
110088.727273,-80.10591569,101.284935935
113118.969697,-76.332007462,91.3039597387
116149.212121,-69.0035115029,81.510657119
119179.454545,-54.8886353555,76.0792752713
122209.69697,-35.2849029461,90.0261538515
125239.939394,-31.1833226213,139.170660749
128270.181818,-45.9056282342,186.190062252
131300.424242,-63.6302617042,189.62068408
134330.666667,-73.1910088526,172.831500361
137360.909091,-78.629594088,155.120550411
140391.151515,-81.542751196,140.90450768
143421.393939,-82.8491240591,131.22379751
146451.636364,-83.7864636297,122.886276747
