frequency_hz,phase_deg,magnitude_ohm
1000,87.8451415853,205.680213351
4030.242424,85.8949029813,870.465460832
7060.484848,83.2408987205,1757.13030687
10090.727273,78.7088682197,3283.95335291
13120.969697,61.6965380233,8306.05958458
16151.212121,-28.3416774541,14214.293834
19181.454545,-62.5782704289,6483.86403682
22211.69697,-71.040300036,4041.05766829
25241.939394,-78.3982326208,3010.68840909
28272.181818,-80.85314531,2521.86944822
31302.424242,-81.2006800084,1873.73282877
34332.666667,-82.6845866189,1890.75562826
37362.909091,-84.2104071957,1418.99866264
40393.151515,-82.9560773895,1292.21874825
43423.393939,-86.4194484489,1228.80876053
46453.636364,-84.3428504265,1007.17396823
49483.878788,-84.0568326831,904.575797991
52514.121212,-85.3250235204,779.810673262
55544.363636,-75.7555801334,733.269832721
58574.606061,-79.2281340246,695.731717459
61604.848485,-81.8722108789,634.015129104
64635.090909,-74.8540618787,563.770172169
67665.333333,-69.188039693,460.126298763
70695.575758,-55.6748123359,375.197595947
73725.818182,-20.8014009828,376.289462314
76756.060606,5.83907455106,758.367632247
79786.30303,-14.8694424733,1395.71147496
82816.545455,-45.3093488139,1571.30841676
85846.787879,-69.0458206612,1260.55089481
88877.030303,-72.1513744127,1122.2690935
91907.272727,-76.5359435154,1022.65938725
94937.515152,-81.8697762799,887.367080207
97967.757576,-84.1683286098,806.583722211
100998,-84.1328783033,768.583472669
104028.242424,-84.9604534954,705.077309965
107058.484848,-86.1829577536,655.822606075
110088.727273,-85.6858217391,632.428712535
113118.969697,-86.8199535285,587.187460856
116149.212121,-86.9839707614,562.49534987
119179.454545,-86.334071214,545.923691047
122209.69697,-86.9512836032,513.205072701
125239.939394,-85.6907715509,497.221393654
128270.181818,-88.919430305,402.707169217
131300.424242,-87.2148544313,458.0586864
134330.666667,-86.4057483062,445.159808931
137360.909091,-87.061891463,422.870106992
140391.151515,-86.9069044138,407.064366813
143421.393939,-84.8133770571,335.82499769
146451.636364,-78.4755829857,450.479114196
149481.878788,-87.941743958,367.97322236
152512.121212,-86.5690341945,319.808748688
155542.363636,-85.4138095554,331.591584101
158572.606061,-84.3059318998,315.893202144
161602.848485,-82.597669822,301.367021634
164633.090909,-80.1372262851,280.253781942
167663.333333,-75.8672203691,263.189106706
170693.575758,-67.5144897082,254.70150005
173723.818182,-56.9390508595,276.250592747
176754.060606,-53.6636538136,356.550667447
179784.30303,-62.4900882735,425.237179297
182814.545455,-72.3941402303,424.579057038
185844.787879,-77.9648590395,407.158782852
188875.030303,-80.8912308488,382.944060122
191905.272727,-83.0504294316,360.696839514
194935.515152,-84.4701615024,366.419422268
197965.757576,-98.4487219426,341.879003487
200996,-77.8858378107,293.869391216
204026.242424,-85.9215201754,294.542159451
207056.484848,-84.4586792444,295.389116015
210086.727273,-85.4070722706,287.414628268
213116.969697,-85.5478228322,283.67043633
216147.212121,-86.7566304223,271.769249115
219177.454545,-85.3837695087,245.293443839
222207.69697,-85.2479568412,251.960006289
225237.939394,-88.0466260633,303.320257035
228268.181818,-86.8684737416,244.220918405
231298.424242,-86.5595897762,240.993837588
234328.666667,-86.8116290702,242.782136766
237358.909091,-79.8477218921,221.209861318
240389.151515,-86.6456778189,224.267561731
243419.393939,-91.4685186448,218.085943584
246449.636364,-86.3127086603,211.324266141
249479.878788,-85.7621531355,207.099910021
252510.121212,-85.6969225354,200.857606902
255540.363636,-85.5204574701,196.153943781
258570.606061,-85.1296333307,189.993142543
261600.848485,-84.5476826683,184.390710394
264631.090909,-84.475138426,180.347379396
267661.333333,-82.475903941,172.363502223
270691.575758,-80.4741315274,166.663042119
273721.818182,-77.2854775691,163.881643699
276752.060606,-73.3264341494,164.969123767
279782.30303,-70.3811326217,177.57053133
282812.545455,-71.6640500342,193.751399474
285842.787879,-75.0031531735,201.67101446
288873.030303,-79.1068078671,200.070687478
291903.272727,-77.3430460182,195.25174866
294933.515152,-83.3704335781,184.62423654
297963.757576,-84.3586813125,183.558850365
300994,-79.2028984499,191.76999022
304024.242424,-83.9967518975,168.854273922
307054.484848,-84.0624290444,160.566343489
310084.727273,-85.0878674218,161.829136125
313114.969697,-85.1886422119,157.676266697
316145.212121,-85.2350276958,154.693783653
319175.454545,-85.285434486,150.58708316
322205.69697,-85.3760692861,147.28778542
325235.939394,-85.3818018119,144.334104055
328266.181818,-85.3820507991,140.528371477
331296.424242,-85.3616012185,137.304735813
334326.666667,-85.1584375315,134.947417313
337356.909091,-85.5446981876,132.230501714
340387.151515,-84.4273360767,130.803074932
343417.393939,-84.6304398222,124.60440541
346447.636364,-86.6665290441,123.716978997
349477.878788,-84.8200177933,120.015378234
352508.121212,-84.692084932,116.931429701
355538.363636,-84.5118649883,114.619807558
358568.606061,-83.6545025578,112.745476128
361598.848485,-83.9127491945,107.83869687
364629.090909,-83.5954946568,105.542494925
367659.333333,-80.9280956066,102.639304837
370689.575758,-81.3332841068,104.270516648
373719.818182,-80.7881854319,96.1716026312
376750.060606,-77.9688487016,91.0368228756
379780.30303,-80.0671469107,96.539868708
382810.545455,-74.0836625499,94.7319613183
385840.787879,-72.6132681467,103.566046506
388871.030303,-74.4423749744,109.562046513
391901.272727,-76.4538640109,102.395360346
394931.515152,-79.1544348037,99.9393808706
397961.757576,-77.8515132983,99.1101328591
400992,-80.9101768943,96.6415167494
404022.242424,-81.3544873872,92.6812217649
407052.484848,-81.9441838251,90.4381395114
410082.727273,-82.1462791626,88.1810644375
413112.969697,-82.2276898733,85.5151779771
416143.212121,-82.2494220642,82.7050820992
419173.454545,-82.2559586656,80.7005807208
422203.69697,-82.24561117,78.3032239623
425233.939394,-83.3054827637,75.4673347119
428264.181818,-81.8091906538,74.3077774951
431294.424242,-82.6625738408,70.9092789719
434324.666667,-80.1544432136,70.7271893122
437354.909091,-81.6557053328,68.0439061357
440385.151515,-80.5033401562,67.1828966164
443415.393939,-80.4286725462,65.8706235646
446445.636364,-80.9784460295,62.2797944193
449475.878788,-81.0353667711,61.0136401432
452506.121212,-79.5647539139,57.4382568343
455536.363636,-79.7713017418,56.2863378363
458566.606061,-78.2791757998,54.3135301637
461596.848485,-78.6089069651,52.2659768445
464627.090909,-77.6636548507,50.3064400003
467657.333333,-76.5864704258,48.2761959122
470687.575758,-75.2641296316,46.396364031
473717.818182,-73.3748940424,44.9279908827
476748.060606,-71.1707048516,43.484020562
479778.30303,-67.9286050332,42.2132888454
482808.545455,-66.4119354529,43.0635215339
485838.787879,-66.3559649967,43.4185714209
488869.030303,-65.5484205041,44.8376184466
491899.272727,-67.1281080897,44.1124035372
494929.515152,-66.9114244036,42.8135894355
497959.757576,-69.8876280148,41.4840904761
500990,-70.1260915387,39.5643706614
504020.242424,-68.9735342587,38.2632361058
507050.484848,-69.6488790592,36.3427792218
510080.727273,-69.3745676897,33.7489948481
513110.969697,-68.7518262685,32.0999579272
516141.212121,-68.5757444546,29.9951134778
519171.454545,-66.1640588116,28.4602136237
522201.69697,-64.5157023502,26.6211840324
525231.939394,-63.0581709925,25.0864591282
528262.181818,-60.7747172768,23.608114917
531292.424242,-58.1593711081,22.073025493
534322.666667,-55.3876229284,20.6260233032
537352.909091,-52.0161270116,19.2437640575
540383.151515,-47.9793079809,17.842195799
543413.393939,-42.9859157443,16.6545268515
546443.636364,-37.0379328124,15.6247239879
549473.878788,-29.6661525151,14.8808715159
